anfangen,fing an,hat angefangen,to begin
antworten,antwortete,hat geantwortet,to answer
arbeiten,arbeitete,hat gearbeitet,to work
aufräumen,räumte auf,hat aufgeräumt,to clean up
aufwachen,wachte auf,ist aufgewacht,to wake up
aussehen,sah aus,hat ausgesehn,to look like
baden,badete,hat gebadet,to bathe
beginnen,begann,hat begonnen,to begin
bekommen,bekam,hat bekommen,to receive
bestellen,bestellte,hat bestellt,to order
besuchen,besuchte,hat besucht,to visit
bewerden,bewarb,hat beworben,to apply
bezahlen,bezahlte,hat bezahlt,to pay for
bitten,bat,hat gebeten,to ask for
brauchen,brauchte,hat gebraucht,to need
danken,dankte,hat gedankt,to thank
dauern,dauerte,hat gedauert,to last
denken,dachte,hat gedacht,to think
diskutieren,diskutierte,hat diskutiert,to discuss
duschen,duschte,hat geduscht,to shower
erklären,erklärte,hat erklärt,to explain
leihen,lieh,hat geliehen,to lend/borrow
lernen,lernte,hat gelernt,to learn
lesen,las,hat gelesen,to read
lieben,liebte,hat geliebt,to love
liegen,lag,hat gelegen,"to lie, be lying"
machen,machte,hat gemacht,"to do, make"
meinen,meinte,hat gemeint,"to mean, think"
nehmen,nahm,hat genommen,to take
nennen,nannte,hat genannt,"to name, call"
öffnen,öffnete,hat geöffnet,to open
planen,plante,hat geplant,to plan
putzen,putzte,hat geputzt,to clean 
reden,redete,hat geredet,"to talk, converse"
regnen,regnete,hat geregnet,to rain
reisen,reiste,ist gereist,to travel
reservieren,reservierte,hat reserviert,to reserve
rufen,rief,hat gerufen,to call
sagen,sagte,hat gesagt,to say
schenken,schenkte,hat geschenkt,to give
schicken,schickte,hat geschickt,to send
schlafen,schlief,hat geschlafen,to sleep
schliessen,schloss,hat geschlossen,to close
schmecken,schmeckte,hat geschmeckt,to taste
schneien,schneite,hat geschneit,to snow
schreiben,schrieb,hat geschrieben,to write
erzählen,erzählte,hat erzählt,to tell about
essen,aß,hat gegessen,to eat
fahren,fuhr,ist gefahren,to drive
feiern,feierte,hat gefeiert,to celebrate
fliegen,flog,ist geflogen,to fly
fragen,fragte,hat gefragt,to ask
geben,gab,hat gegeben,to give
gehen,ging,ist gegangen,to go
haben,hatte,hat gehabt,to have
hängen,hing,hat gehangen,to hang
heißen,hieß,hat geheißen,to be called
helfen,half,hat geholfen,to help
hören,hörte,hat gehört,"to hear, listen"
joggen,joggte,ist gejoggt,to jog
kaufen,kaufte,hat gekauft,to buy
kennen,kannte,hat gekannt,to know people
kochen,kochte,hat gekocht,to cook
kommen,kam,ist gekommen,to come
kosten,kostete,hat gekostet,to cost
schwimmen,schwamm,hat geschwommen,to swim
sehen,sah aus,hat gesehen,to see
sein,war,ist gewesen,to be
setzen,setzte,hat gesetzt,to set down
singen,sang,hat gesungen,to sing
sitzen,saß,hat gesessen,to be sitting
spielen,spielte,hat gespielt,to play
sprechen,sprach,hat gesprochen,to speak
stehen,stand,hat gestanden,to stand
stellen,stellte,hat gestellt,"to place, put"
sterben,starb,ist gestorben,to die
studieren,studierte,hat studiert,to study
suchen,suchte,hat gesucht,to look for
tanzen,tanzte,hat getanzt,to dance
treffen,traf,hat getroffen,to meet
trinken,trank,getrunken,to drink
wandern,wanderte,ist gewandert,to hike
lachen,lachte,hat gelacht,to laugh
laufen,lief,ist gelaufen,"to run, walk"
leben,lebte,hat gelebt,to live
legen,legte,hat gelegt,"to lay, put down"
wünschen,wünschte,hat gewünscht,to wish
zahlen,zahlte,hat gezahlt,to pay
bleiben,blieb,ist geblieben,to stay
bringen,brachte,hat gebracht,to bring
entscheiden,entschied,hat entschieden,to decide
schlagen,schlug,hat geschlagen,to hit
erinnern,erinnerte,hat erinnert,to remember
empfehlen,empfahl,hat empfohlen,to recommend
gratulieren,gratulierte,hat gratuliert,to congratulate
gewinnen,gewann,hat gewonnen,to win
interessieren,interessierte,hat interessiert,to interest
verstehen,verstand,hat verstanden,to understand
vergessen,vergaß,hat vergessen,to forget
wissen,wusste,hat gewusst,to know facts
